date,W_STXWDM.JO,W_STX40.JO,W_STXGOV.JO,regime
2023-12-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-01-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-02-29 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-03-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-04-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-05-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-06-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-07-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-08-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-09-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-10-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-11-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2024-12-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-01-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-02-28 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-03-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-04-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-05-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-06-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-07-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-08-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-09-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-10-31 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
2025-11-30 00:00:00+00:00,0.5,0.5,0.0,RISK-ON
